Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision
Jochem,1623369723610,1,21995,21995,179338,0.7142857142857143,5,0,5,0,1,SUCCESS,21995,OPEN
JPMC-DriftKing-Houston,1623368439416,1,22483,22483,163386,1.3333333333333333,3,5,8,0,2,SUCCESS,22483,OPEN
Joffe,1623369953685,1,23200,23200,158307,0.8333333333333334,1,4,5,0,3,SUCCESS,23200,OPEN
Breadcentric,1623310601452,1,23664,23664,175388,0.14285714285714285,1,0,1,0,4,SUCCESS,23664,OPEN
Ernesto,1623261325774,1,23730,23730,164985,0.6666666666666666,1,3,4,0,5,SUCCESS,23730,OPEN
Duckworth,1623325528358,1,24596,24596,157047,1.4,4,3,7,0,6,SUCCESS,24596,OPEN
Yoway-NYCU-CGI,1623355914644,1,24672,24672,166473,0.3333333333333333,0,2,2,0,7,SUCCESS,24672,OPEN
Matt,1623328872987,1,24747,24747,173389,1.0,2,4,6,0,8,SUCCESS,24747,OPEN
AJM-Model-1,1623370164975,1,25595,25595,147455,0.8,0,4,4,0,9,SUCCESS,25595,OPEN
Yi-LI-NYCU-CGI,1623370381402,1,26004,26004,165341,0.3333333333333333,0,2,2,1,10,SUCCESS,26004,OPEN
Rober,1623276896370,1,26664,26664,149932,0.8,2,2,4,0,11,SUCCESS,26664,OPEN
rosscomp1,1623369623583,1,27322,27322,178542,1.6666666666666667,6,4,10,0,12,SUCCESS,27322,OPEN
dartjason,1623297448989,1,31169,31169,171706,2.4,2,10,12,0,13,SUCCESS,31169,OPEN
JPMC-HandsFree-London,1623355891611,1,47478,47478,147525,6.333333333333333,6,13,19,0,14,SUCCESS,47478,OPEN
ZhengYi-NYCU-CGI,1623369660601,1,53649,53649,138735,12.0,19,5,24,0,15,SUCCESS,53649,OPEN
Penguin-DNPds,1623368905736,1,154302,154302,154302,32.0,31,1,32,0,16,SUCCESS,154302,OPEN
