Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
GregRacing,1614654939079,3,41347,35795,124042,1.0,0,3,3,1,1,SUCCESS,124042
hypersky,1614659253981,3,41683,39660,125051,0.3333333333333333,0,1,1,11,2,SUCCESS,125051
Redfalcon5,1614692007009,3,43105,42790,129315,0.0,0,0,0,13,3,SUCCESS,129315
drunken-monkey,1614698648381,3,44177,40399,132532,0.6666666666666666,0,2,2,3,4,SUCCESS,132532
Kalky,1614713497216,3,44242,40411,132726,0.6666666666666666,0,2,2,6,5,SUCCESS,132726
GB2000,1614677905002,3,48088,47538,144264,3.0,0,9,9,5,6,SUCCESS,144264
jmp543,1614645195442,3,49032,46339,147096,1.3333333333333333,0,4,4,11,7,SUCCESS,147096
NowSomeDonkeyCar,1614676282383,3,49230,45473,147690,2.6666666666666665,0,8,8,43,8,SUCCESS,147690
GoodmanKR,1614730514191,3,49974,46189,149922,2.6666666666666665,0,8,8,71,9,SUCCESS,149922
Liluter-Dron,1614649072565,3,54196,51515,162589,0.6666666666666666,0,2,2,0,10,SUCCESS,162589
MarsLander,1614732309802,3,57324,53540,171973,3.6666666666666665,0,11,11,5,11,SUCCESS,171973
PacemakersEh,1614738921917,3,57490,49404,172470,2.3333333333333335,0,7,7,0,12,SUCCESS,172470
ConnorSutton-01,1614670187316,3,59569,55871,178707,0.6666666666666666,0,2,2,13,13,SUCCESS,178707
Heisenberg,1614632479798,3,60420,58674,181262,0.3333333333333333,0,1,1,6,14,SUCCESS,181262
funny,1614607726948,3,62475,62192,187426,0.0,0,0,0,3,15,SUCCESS,187426
LuckyMan,1614644594200,3,62836,50726,188509,4.0,0,12,12,1,16,SUCCESS,188509
SPS-GottaGoFast,1614632918599,3,66254,57842,198764,2.6666666666666665,0,8,8,5,17,SUCCESS,198764
RedRacer2021,1614599582318,3,67052,66149,201158,0.3333333333333333,0,1,1,1,18,SUCCESS,201158
s1thind,1614609685801,3,68432,63456,205297,6.0,0,18,18,6,19,SUCCESS,205297
ironbarrel1,1614600330074,3,68432,62218,205297,3.0,0,9,9,4,20,SUCCESS,205297
jimmitjoo,1614612684418,3,73905,68509,221717,0.3333333333333333,0,1,1,1,21,SUCCESS,221717
BugRacer,1614617062639,3,74168,73471,222505,0.0,0,0,0,0,22,SUCCESS,222505
jgamblin,1614719887772,3,74929,63939,224789,5.666666666666667,0,17,17,13,23,SUCCESS,224789
LM-AFS1,1614704717253,3,75801,75382,227403,3.0,0,9,9,4,24,SUCCESS,227403
KaiRacer,1614663640744,3,77643,70855,232931,4.0,0,12,12,3,25,SUCCESS,232931
KeisukeKondo,1614741831525,3,78184,72979,234552,5.0,0,15,15,28,26,SUCCESS,234552
mayumi-nakagawa,1614742313338,3,79097,78205,237292,4.0,0,12,12,0,27,SUCCESS,237292
WaveLabCup-test,1614742380726,3,79298,74330,237896,8.0,0,24,24,1,28,SUCCESS,237896
tenihil,1614642395699,3,81097,75335,243291,3.0,0,9,9,2,29,SUCCESS,243291
BT-Racer-McLarenF1-Series,1614723386263,3,84903,76321,254709,4.666666666666667,0,14,14,0,30,SUCCESS,254709
Green-Hill-Products-and-Services-Number1,1614732564198,3,85090,75602,255272,8.666666666666666,0,26,26,3,31,SUCCESS,255272
TechGenius,1614672753031,3,86122,83403,258368,0.3333333333333333,0,1,1,1,32,SUCCESS,258368
GeraldHinton,1614645951280,3,86325,76255,258976,4.666666666666667,0,14,14,0,33,SUCCESS,258976
JMo,1614744690322,3,86535,83593,259605,7.666666666666667,0,23,23,1,34,SUCCESS,259605
HarinWu,1614711512843,3,86558,82926,259674,7.666666666666667,0,23,23,2,35,SUCCESS,259674
VikingOne,1614672652858,3,86849,85066,260547,0.3333333333333333,0,1,1,3,36,SUCCESS,260547
Rakesh-Arumalla,1614603529746,3,91068,84059,273205,2.3333333333333335,0,7,7,0,37,SUCCESS,273205
PreyRacer,1614668195790,3,92278,89688,276834,0.6666666666666666,0,2,2,6,38,SUCCESS,276834
CPTest,1614576637324,3,93804,91425,281413,0.0,0,0,0,0,39,SUCCESS,281413
Dharani1,1614567227623,3,94853,90202,284561,9.666666666666666,0,29,29,2,40,SUCCESS,284561
Weaver,1614606546685,3,95503,93440,286509,0.0,0,0,0,8,41,SUCCESS,286509
voidalpha,1614714684204,3,97230,88402,291691,1.0,0,2,3,5,42,SUCCESS,291691
DePauwRacer,1614646389166,3,97973,95586,293921,4.333333333333333,0,13,13,0,43,SUCCESS,293921
Twitter,1614686377029,3,98168,98066,294506,0.0,0,0,0,0,44,SUCCESS,294506
Bren1Racer,1614611507972,3,99694,96933,299084,0.0,0,0,0,0,45,SUCCESS,299084
Woodys-DeepRacer,1614737870237,3,100241,97873,300723,0.0,0,0,0,2,46,SUCCESS,300723
testAlpha,1614608780509,3,100499,96366,301497,0.0,0,0,0,1,47,SUCCESS,301497
Upjumper,1614622012120,3,102706,99338,308118,0.3333333333333333,0,1,1,1,48,SUCCESS,308118
DR-1,1614588653474,3,104970,85636,314911,11.666666666666666,0,35,35,2,49,SUCCESS,314911
ModelA,1614596645829,3,105302,102751,315908,1.0,0,2,3,0,50,SUCCESS,315908
MariusAndersen,1614594600699,3,105781,94939,317345,11.0,0,33,33,5,51,SUCCESS,317345
sag,1614730055633,3,106230,98138,318691,4.333333333333333,0,13,13,0,52,SUCCESS,318691
satussy777,1614715468479,3,106504,97151,319513,14.666666666666666,0,44,44,1,53,SUCCESS,319513
Jazzer,1614697856200,3,107727,103134,323182,0.3333333333333333,0,1,1,0,54,SUCCESS,323182
Srinu-Pilli,1614613681971,3,108333,92528,325000,3.3333333333333335,0,10,10,1,55,SUCCESS,325000
ksvanaasen,1614696228315,3,108770,107211,326310,1.0,0,3,3,1,56,SUCCESS,326310
AskJag07,1614588122875,3,111187,105658,333562,3.6666666666666665,0,11,11,1,57,SUCCESS,333562
JP01v2,1614734425903,3,111379,102873,334139,1.6666666666666667,0,5,5,3,58,SUCCESS,334139
vasmos,1614745723142,3,112655,111048,337966,0.3333333333333333,0,1,1,4,59,SUCCESS,337966
amol-league,1614580683532,3,114203,110148,342611,5.333333333333333,0,16,16,1,60,SUCCESS,342611
Brian-Cheungs-racer,1614728656736,3,116627,110607,349883,6.0,0,18,18,0,61,SUCCESS,349883
Tori-TW-USYS,1614604951789,3,117440,98935,352322,15.333333333333334,0,46,46,0,62,SUCCESS,352322
Teste01,1614733096426,3,118420,115206,355260,2.6666666666666665,0,8,8,0,63,SUCCESS,355260
TotalCruise,1614627569479,3,118728,112870,356184,17.0,0,51,51,2,64,SUCCESS,356184
SSQQ,1614648131244,3,118755,110130,356267,3.3333333333333335,0,10,10,0,65,SUCCESS,356267
Otaboroid,1614610619984,3,119732,114403,359198,17.0,0,51,51,1,66,SUCCESS,359198
DeepFlyer,1614733956168,3,119776,115545,359330,2.3333333333333335,0,7,7,0,67,SUCCESS,359330
skichi,1614606707272,3,122488,111265,367465,2.0,0,6,6,2,68,SUCCESS,367465
alex2,1614639112801,3,125688,119733,377066,1.0,0,3,3,6,69,SUCCESS,377066
random,1614693393117,3,126799,117876,380397,6.333333333333333,0,19,19,0,70,SUCCESS,380397
avaderbcar,1614730788866,3,127055,118556,381167,2.3333333333333335,0,7,7,0,71,SUCCESS,381167
Ligue1,1614733096531,3,128301,124864,384905,0.3333333333333333,0,1,1,0,72,SUCCESS,384905
KoRe401,1614657955663,3,130159,124404,390477,0.0,0,0,0,1,73,SUCCESS,390477
daisuke2010311345,1614746888084,3,130700,127004,392102,10.333333333333334,0,31,31,2,74,SUCCESS,392102
ClaudioRace,1614735152018,3,130704,114947,392112,4.333333333333333,0,13,13,3,75,SUCCESS,392112
FSgeorgetoo,1614671147460,3,132397,128538,397192,2.3333333333333335,0,7,7,5,76,SUCCESS,397192
AltRanger196766,1614691972808,3,133883,123310,401649,6.0,0,18,18,1,77,SUCCESS,401649
AlexModel,1614722990618,3,134427,132224,403281,3.6666666666666665,0,9,11,2,78,SUCCESS,403281
dsh01,1614601965254,3,134794,132067,404383,0.3333333333333333,0,1,1,16,79,SUCCESS,404383
AllyAraujo10,1614733478733,3,135818,130251,407456,4.666666666666667,0,14,14,0,80,SUCCESS,407456
csgo1,1614608581514,3,136462,124055,409388,17.333333333333332,0,52,52,0,81,SUCCESS,409388
DH,1614571274580,3,139037,126724,417111,17.333333333333332,0,52,52,0,82,SUCCESS,417111
Jaz,1614621163852,3,142849,137262,428547,8.0,0,24,24,3,83,SUCCESS,428547
Teste01-AM,1614733096642,3,146411,132800,439234,8.666666666666666,0,26,26,0,84,SUCCESS,439234
2021PreSeason-SmartModel24,1614581089552,3,149183,134421,447550,12.666666666666666,0,38,38,0,85,SUCCESS,447550
dgilm,1614658142712,3,149584,144936,448754,9.666666666666666,0,29,29,0,86,SUCCESS,448754
AlphonsaDavies,1614711297578,3,149881,146249,449643,8.333333333333334,0,25,25,5,87,SUCCESS,449643
RCube,1614575327912,3,159032,132039,477098,12.0,0,36,36,0,88,SUCCESS,477098
zongfu,1614731528065,3,167859,162444,503578,1.6666666666666667,0,5,5,1,89,SUCCESS,503578
Priyal318,1614654887561,3,169121,152160,507365,10.333333333333334,0,31,31,2,90,SUCCESS,507365
AlphaBetaTheta,1614710143687,3,174655,171796,523965,15.666666666666666,0,47,47,2,91,SUCCESS,523965
Preyspeed,1614630708665,3,182764,170948,548293,15.666666666666666,0,46,47,1,92,SUCCESS,548293
GrabCarBoy,1614683104945,3,183195,178721,549586,25.333333333333332,0,76,76,1,93,SUCCESS,549586
PlatanoRacer,1614599769578,3,186358,175461,559076,18.0,0,54,54,0,94,SUCCESS,559076
DC1991,1614647352663,3,189266,177795,567800,18.333333333333332,0,55,55,1,95,SUCCESS,567800
Teste001,1614733114435,3,190032,175709,570097,9.0,0,27,27,0,96,SUCCESS,570097
OnoPoteco,1614661023411,3,210408,204334,631225,13.0,0,39,39,0,97,SUCCESS,631225
Chicago-1-Chasers,1614660961879,3,217704,207516,653114,27.0,0,81,81,0,98,SUCCESS,653114
SpeedRunnerES,1614690160220,3,219104,203866,657312,25.666666666666668,0,77,77,1,99,SUCCESS,657312
kaushalrao101test,1614632633178,3,220283,215070,660851,17.0,0,51,51,1,100,SUCCESS,660851
Dribbly-Meander,1614651466925,3,241283,231395,723851,28.0,0,84,84,0,101,SUCCESS,723851
amurakami-deep-racer,1614697323677,3,244848,233895,734544,32.0,0,96,96,0,102,SUCCESS,734544
Amaranth,1614574923876,3,295816,291074,887450,22.666666666666668,0,68,68,0,103,SUCCESS,887450
Fluxracer,1614702346871,3,327481,309587,982445,45.0,0,135,135,0,104,SUCCESS,982445
NationalDayniehongbo,1614586476254,3,328203,313253,984609,50.666666666666664,0,152,152,0,105,SUCCESS,984609
metrogea,1614654772418,3,371486,369456,1114460,54.333333333333336,0,163,163,0,106,SUCCESS,1114460
VinayM,1614675753640,3,377964,370524,1133892,54.666666666666664,0,164,164,0,107,SUCCESS,1133892
Kurahara,1614735181360,3,392128,384608,1176386,55.666666666666664,0,167,167,0,108,SUCCESS,1176386
